Flow ID,Flow Name,Customer,Department,Capability,Run Count,Error Rate,Manual Time,Transaction Volume,Customer Count
1,Campaign Bot,Internal,Sales,Sales,648,6,17,9720,10
2,Schedule Flow,Atlas Energy,Planning,Planning,58,5,111,58,9
3,Permit Automation,Summit Bank,Finance,Government Affairs,79,0,145,1106,6
4,Onboarding Tracking,Quantum Telecom,HR,HR,2063,8,49,4126,9
5,License Monitoring,Zenith Insurance,Government Affairs,Government Affairs,1057,0,161,4228,6
6,Capacity Approval,Zenith Insurance,Planning,Planning,699,2,66,9087,9
7,Contract Flow,Orion Manufacturing,Legal,Legal,2206,4,76,22060,6
8,Payment Automation,Nova Retail,Finance,Finance,255,0,174,510,7
9,Project Monitoring,Zenith Insurance,Planning,Planning,2834,12,119,5668,9
10,Expense Tracking,Vertex Construction,Finance,Finance,2068,6,177,28952,7
11,Access Tracking,Vertex Construction,IT,IT,123,1,159,246,9
12,Capacity Processing,Orion Manufacturing,Planning,Planning,353,4,23,1059,9
13,Access Reporting,Nova Retail,IT,IT,1940,3,94,21340,9
14,Maintenance Flow,Nova Retail,Operations,Operations,24,4,153,72,8
15,Lead Tracking,Atlas Energy,Sales,Sales,73,10,134,730,10
16,Budget Reconciliation,Atlas Energy,Planning,Finance,503,8,105,503,7
17,Compliance Automation,Nova Retail,Government Affairs,Legal,19,0,148,57,6
18,Resource Automation,ABC Holding,Finance,Planning,31,8,67,186,9
19,Filing Management,ABC Holding,Government Affairs,Government Affairs,577,2,24,1731,6
20,Employee Management,Pioneer Healthcare,HR,HR,93,1,138,558,9
21,Leave Approval,Vertex Construction,Operations,HR,367,1,94,4771,9
22,Agreement Approval,Quantum Telecom,Legal,Legal,1713,12,52,22269,6
23,Litigation Reporting,Delta Logistics,Legal,Legal,630,10,10,630,6
24,Quote Reconciliation,Summit Bank,Sales,Sales,557,0,59,1114,10
25,Agreement Reconciliation,Delta Logistics,Legal,Legal,739,8,91,9607,6
26,Expense Automation,Pioneer Healthcare,Sales,Finance,27,12,104,216,7
27,Quality Automation,Nova Retail,Operations,Operations,1419,4,170,4257,8
28,Regulatory Monitoring,Nova Retail,IT,Government Affairs,75,0,169,150,6
29,Forecast Bot,Delta Logistics,Planning,Planning,32,2,131,128,9
30,License Management,Atlas Energy,Government Affairs,Government Affairs,162,8,152,2268,6
31,Forecast Reporting,Quantum Telecom,Planning,Planning,1421,5,7,19894,9
32,Access Bot,Nova Retail,IT,IT,2739,10,33,24651,9
33,Budget Management,Quantum Telecom,Finance,Finance,1234,0,66,4936,7
34,Quote Processing,Quantum Telecom,Sales,Sales,62,4,86,620,10
35,Schedule Monitoring,Orion Manufacturing,Planning,Planning,620,5,66,7440,9
36,Forecast Tracking,Pioneer Healthcare,Sales,Planning,526,4,83,1052,9
37,Litigation Reporting,Vertex Construction,Legal,Legal,1432,8,172,8592,6
38,Leave Tracking,Delta Logistics,Government Affairs,HR,196,1,173,2744,9
39,Agreement Bot,Quantum Telecom,Legal,Legal,56,2,84,112,6
40,Warehouse Processing,Pioneer Healthcare,Operations,Operations,118,5,162,590,8
41,Schedule Automation,Delta Logistics,Planning,Planning,186,0,49,930,9
42,Onboarding Reporting,Vertex Construction,HR,HR,1411,5,149,11288,9
43,Campaign Automation,Nova Retail,Sales,Sales,59,8,25,767,10
44,Lead Automation,Delta Logistics,Sales,Sales,370,0,89,3330,10
45,Server Tracking,Internal,IT,IT,72,2,15,216,9
46,Compliance Tracking,Quantum Telecom,Legal,Legal,2625,8,48,13125,6
47,Inventory Processing,Internal,Finance,Operations,1576,4,65,23640,8
48,Access Automation,Vertex Construction,IT,IT,2827,3,132,14135,9
49,NDA Flow,Vertex Construction,Legal,Legal,22,1,6,44,6
50,Lead Reporting,ABC Holding,Sales,Sales,2872,2,156,11488,10
51,Order Processing,Nova Retail,Sales,Sales,556,2,87,5004,10
52,Campaign Flow,Orion Manufacturing,Sales,Sales,32,2,100,64,10
53,Network Tracking,Delta Logistics,IT,IT,36,2,25,108,9
54,Quality Monitoring,Internal,Operations,Operations,43,6,138,602,8
55,Leave Monitoring,Zenith Insurance,HR,HR,606,10,161,6666,9
56,Leave Processing,Quantum Telecom,HR,HR,85,5,132,850,9
57,Payroll Monitoring,Vertex Construction,Finance,Finance,93,0,13,279,7
58,Warehouse Automation,Pioneer Healthcare,Operations,Operations,877,5,177,3508,8
59,Capacity Tracking,ABC Holding,Planning,Planning,100,8,137,200,9
60,Network Tracking,Orion Manufacturing,IT,IT,1745,8,120,13960,9
61,Maintenance Automation,Vertex Construction,Operations,Operations,41,6,40,246,8
62,Lead Tracking,Nova Retail,Sales,Sales,593,2,175,1186,10
63,NDA Reconciliation,Quantum Telecom,Legal,Legal,575,12,33,8625,6
64,Project Flow,ABC Holding,Planning,Planning,117,0,132,936,9
65,Quote Reporting,Delta Logistics,Sales,Sales,14,10,137,70,10
66,Warehouse Bot,Vertex Construction,Operations,Operations,1261,2,62,10088,8
67,Capacity Reporting,Internal,Planning,Planning,797,2,39,5579,9
68,Inventory Reporting,Zenith Insurance,Operations,Operations,432,0,53,5184,8
69,Invoice Tracking,ABC Holding,Finance,Finance,499,3,73,6986,7
70,Budget Tracking,Vertex Construction,Finance,Finance,41,2,114,369,7
71,Campaign Flow,Atlas Energy,Sales,Sales,2438,5,55,29256,10
72,Expense Processing,Pioneer Healthcare,Planning,Finance,241,0,143,723,7
73,Timesheet Reconciliation,Orion Manufacturing,HR,HR,361,8,64,1805,9
74,Network Approval,ABC Holding,IT,IT,26,1,131,390,9
75,Capacity Approval,Zenith Insurance,Planning,Planning,1371,1,65,2742,9
76,Contract Management,Zenith Insurance,Legal,Legal,1858,1,8,22296,6
77,Server Reporting,Quantum Telecom,IT,IT,485,12,18,3880,9
78,Quote Monitoring,Vertex Construction,Legal,Sales,69,2,66,483,10
79,Quality Reconciliation,Orion Manufacturing,Operations,Operations,230,10,124,2300,8
80,Capacity Processing,Quantum Telecom,Planning,Planning,64,1,42,192,9
81,Forecast Automation,ABC Holding,Government Affairs,Planning,75,1,148,1125,9
82,Tax Tracking,Quantum Telecom,Operations,Finance,86,0,79,774,7
