Flow ID,Flow Name,Customer,Department,Capability,Run Count,Error Rate,Manual Time,Transaction Volume
1,Campaign Bot,Internal,Sales,Sales,648,6,17,9720
2,Schedule Flow,Atlas Energy,Planning,Planning,58,5,111,58
3,Permit Automation,Summit Bank,Finance,Government Affairs,79,0,145,1106
4,Onboarding Tracking,Quantum Telecom,HR,HR,2063,8,49,4126
5,License Monitoring,Zenith Insurance,Government Affairs,Government Affairs,1057,0,161,4228
6,Capacity Approval,Zenith Insurance,Planning,Planning,699,2,66,9087
7,Contract Flow,Orion Manufacturing,Legal,Legal,2206,4,76,22060
8,Payment Automation,Nova Retail,Finance,Finance,255,0,174,510
9,Project Monitoring,Zenith Insurance,Planning,Planning,2834,12,119,5668
10,Expense Tracking,Vertex Construction,Finance,Finance,2068,6,177,28952
11,Access Tracking,Vertex Construction,IT,IT,123,1,159,246
12,Capacity Processing,Orion Manufacturing,Planning,Planning,353,4,23,1059
13,Access Reporting,Nova Retail,IT,IT,1940,3,94,21340
14,Maintenance Flow,Nova Retail,Operations,Operations,24,4,153,72
15,Lead Tracking,Atlas Energy,Sales,Sales,73,10,134,730
16,Budget Reconciliation,Atlas Energy,Planning,Finance,503,8,105,503
17,Compliance Automation,Nova Retail,Government Affairs,Legal,19,0,148,57
18,Resource Automation,ABC Holding,Finance,Planning,31,8,67,186
19,Filing Management,ABC Holding,Government Affairs,Government Affairs,577,2,24,1731
20,Employee Management,Pioneer Healthcare,HR,HR,93,1,138,558
21,Leave Approval,Vertex Construction,Operations,HR,367,1,94,4771
22,Agreement Approval,Quantum Telecom,Legal,Legal,1713,12,52,22269
23,Litigation Reporting,Delta Logistics,Legal,Legal,630,10,10,630
24,Quote Reconciliation,Summit Bank,Sales,Sales,557,0,59,1114
25,Agreement Reconciliation,Delta Logistics,Legal,Legal,739,8,91,9607
26,Expense Automation,Pioneer Healthcare,Sales,Finance,27,12,104,216
27,Quality Automation,Nova Retail,Operations,Operations,1419,4,170,4257
28,Regulatory Monitoring,Nova Retail,IT,Government Affairs,75,0,169,150
29,Forecast Bot,Delta Logistics,Planning,Planning,32,2,131,128
30,License Management,Atlas Energy,Government Affairs,Government Affairs,162,8,152,2268
31,Forecast Reporting,Quantum Telecom,Planning,Planning,1421,5,7,19894
32,Access Bot,Nova Retail,IT,IT,2739,10,33,24651
33,Budget Management,Quantum Telecom,Finance,Finance,1234,0,66,4936
34,Quote Processing,Quantum Telecom,Sales,Sales,62,4,86,620
35,Schedule Monitoring,Orion Manufacturing,Planning,Planning,620,5,66,7440
36,Forecast Tracking,Pioneer Healthcare,Sales,Planning,526,4,83,1052
37,Litigation Reporting,Vertex Construction,Legal,Legal,1432,8,172,8592
38,Leave Tracking,Delta Logistics,Government Affairs,HR,196,1,173,2744
39,Agreement Bot,Quantum Telecom,Legal,Legal,56,2,84,112
40,Warehouse Processing,Pioneer Healthcare,Operations,Operations,118,5,162,590
